Name,Type,Product,Activity
Alkaline Fuel Cell,Construction,"fuel cell system, 1 kWe, proton exchange membrane (PEM)","fuel cell system assembly, 1 kWe, proton exchange membrane (PEM)"
Alkaline Fuel Cell,Operation,"electricity, from residential heating system","electricity, residential, by conversion of hydrogen using fuel cell, PEM, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid"
Alkaline Electrolysis,Operation,"hydrogen, gaseous, 20 bar","hydrogen production, gaseous, 20 bar, from AEC electrolysis, from grid electricity"
Alkaline Electrolysis (plant),Construction,"electrolyzer, 1MWe, AEC, Balance of Plant","electrolyzer production, 1MWe, AEC, Balance of Plant"
Alkaline Electrolysis (plant decommissioning),Construction,"used fuel cell balance of plant, 1MWe, AEC","treatment of fuel cell balance of plant, 1MWe, AEC"
Alkaline Electrolysis (stack),Construction,"electrolyzer, 1MWe, AEC, Stack","electrolyzer production, 1MWe, AEC, Stack"
Alkaline Electrolysis (stack decommissioning),Construction,"used fuel cell stack, 1MWe, AEC","treatment of fuel cell stack, 1MWe, AEC"
Aluminum Making,Construction,aluminium casting facility,aluminium casting facility construction
Aluminum Making,Operation,"aluminium, primary, ingot","aluminium production, primary, ingot"
Aluminum Making Heat Recovery,Construction,aluminium casting facility,aluminium casting facility construction
Aluminum Making Heat Recovery,Operation,"aluminium, primary, ingot","aluminium production, primary, ingot"
Anaerobic Digestion of Sewage Sludge,Operation,biogas,anaerobic digestion of manure
Anaerobic Digestion of Sewage Sludge,Construction,"anaerobic digestion plant, for biowaste","anaerobic digestion plant construction, for biowaste"
Anaerobic Digestion of Sewage Sludge Cogeneration,Operation,biogas,anaerobic digestion of manure
Anaerobic Digestion of Sewage Sludge Cogeneration (co-generation unit),Construction,"heat and power co-generation unit, 160kW electrical, common components for heat+electricity","heat and power co-generation unit construction, 160kW electrical, common components for heat+electricity"
Anaerobic Digestion of Sewage Sludge Cogeneration (plant),Construction,"anaerobic digestion plant, for biowaste","anaerobic digestion plant construction, for biowaste"
Auto-Thermal Reforming,Operation,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming"
Auto-Thermal Reforming with Carbon Capture,Operation,"hydrogen, gaseous, low pressure","hydrogen production, auto-thermal reforming, with CCS"
Auto-Thermal Reforming with Carbon Capture (plant),Construction,"chemical factory, organics","chemical factory construction, organics"
Auto-Thermal Reforming with Carbon Capture (storage tank),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
Auto-Thermal Reforming (plant),Construction,"chemical factory, organics","chemical factory construction, organics"
Auto-Thermal Reforming (storage tank),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
Battery Energy Storage,Construction,"battery, Li-ion, LiMn2O4, rechargeable, prismatic","market for battery, Li-ion, LiMn2O4, rechargeable, prismatic"
