Name,Flow,Amount,Description (name),Description (flow)
ACETIC_ACID,ACETIC_ACID,1.0,Acetic acid,Acetic acid
ACETONE,ACETONE,1.0,Acetone,Acetone
AFC,ELECTRICITY_LV,2.915,Alkaline Fuel Cell,Electricity (low voltage)
AFC,H2_HP,-4.255,Alkaline Fuel Cell,Hydrogen (high pressure)
AFC,HEAT_LOW_T_DECEN,1.0,Alkaline Fuel Cell,"Heat (low temperature, decentralized)"
ALKALINE_ELECTROLYSIS,ELECTRICITY_HV,-1.72,Alkaline Electrolysis,Electricity (high voltage)
ALKALINE_ELECTROLYSIS,H2_MP,1.0,Alkaline Electrolysis,Hydrogen (medium pressure)
ALKALINE_ELECTROLYSIS,HEAT_LOW_T_DECEN,0.26,Alkaline Electrolysis,"Heat (low temperature, decentralized)"
AL_MAKING,ALUMINUM,1.0,Aluminum Making,Aluminium
AL_MAKING,ELECTRICITY_HV,-0.125,Aluminum Making,Electricity (high voltage)
AL_MAKING,HEAT_HIGH_T,-1.056,Aluminum Making,Heat (high temperature)
AL_MAKING_HR,ALUMINUM,1.0,Aluminum Making Heat Recovery,Aluminium
AL_MAKING_HR,ELECTRICITY_HV,-0.125,Aluminum Making Heat Recovery,Electricity (high voltage)
AL_MAKING_HR,HEAT_HIGH_T,-1.003,Aluminum Making Heat Recovery,Heat (high temperature)
AN_DIG,CO2_A,1.06,Anaerobic Digestion of Sewage Sludge,CO2 emission (from carbon-intensive fields)
AN_DIG,SNG_MP,1.0,Anaerobic Digestion of Sewage Sludge,Synthetic natural gas (medium pressure)
AN_DIG,WET_BIOMASS,-3.346,Anaerobic Digestion of Sewage Sludge,Wet biomass
AN_DIG_SI,CO2_A,2.903,Anaerobic Digestion of Sewage Sludge Cogeneration,CO2 emission (from carbon-intensive fields)
AN_DIG_SI,ELECTRICITY_MV,1.0,Anaerobic Digestion of Sewage Sludge Cogeneration,Electricity (medium voltage)
AN_DIG_SI,HEAT_LOW_T_DHN,1.12,Anaerobic Digestion of Sewage Sludge Cogeneration,"Heat (low temperature, district heating network)"
AN_DIG_SI,WET_BIOMASS,-7.722,Anaerobic Digestion of Sewage Sludge Cogeneration,Wet biomass
ATR,CO2_A,0.411,Auto-Thermal Reforming,CO2 emission (from carbon-intensive fields)
ATR,H2_HP,1.0,Auto-Thermal Reforming,Hydrogen (high pressure)
ATR,NG_HP,-1.542,Auto-Thermal Reforming,Natural gas (high pressure)
ATR_CCS,CO2_C,0.38,Auto-Thermal Reforming with Carbon Capture,Captured CO2
ATR_CCS,CO2_E,0.042,Auto-Thermal Reforming with Carbon Capture,CO2 emission (from nonconcentrated spot sources)
ATR_CCS,H2_HP,1.0,Auto-Thermal Reforming with Carbon Capture,Hydrogen (high pressure)
ATR_CCS,NG_HP,-1.583,Auto-Thermal Reforming with Carbon Capture,Natural gas (high pressure)
BENZENE,BENZENE,1.0,Benzene,Benzene
BIOETHANOL_TO_BIOJETFUELS,BIO_ETHANOL,-1.754,Conversion of BioEthanol to Jet Fuels,Bio-ethanol
BIOETHANOL_TO_BIOJETFUELS,BIO_JETFUEL,1.0,Conversion of BioEthanol to Jet Fuels,Bio-jetfuel
BIOETHANOL_TO_BIOJETFUELS,CO2_A,0.192,Conversion of BioEthanol to Jet Fuels,CO2 emission (from carbon-intensive fields)
BIOGAS_ATR,H2_HP,1.0,Biogas Auto-Thermal Reforming,Hydrogen (high pressure)
BIOGAS_ATR,WOOD,-2.783,Biogas Auto-Thermal Reforming,Woody biomass
BIOGAS_ATR_CCS,CO2_C,0.72,Biogas Auto-Thermal Reforming with Carbon Capture,Captured CO2
BIOGAS_ATR_CCS,CO2_E,-0.08,Biogas Auto-Thermal Reforming with Carbon Capture,CO2 emission (from nonconcentrated spot sources)
BIOGAS_ATR_CCS,H2_HP,1.0,Biogas Auto-Thermal Reforming with Carbon Capture,Hydrogen (high pressure)
BIOGAS_ATR_CCS,WOOD,-3.199,Biogas Auto-Thermal Reforming with Carbon Capture,Woody biomass
BIOGAS_BIOMETHANE,CO2_C,-0.198,Biomass to Biomethane,Captured CO2
BIOGAS_BIOMETHANE,ELECTRICITY_MV,-0.024,Biomass to Biomethane,Electricity (medium voltage)
BIOGAS_BIOMETHANE,H2_MP,-1.191,Biomass to Biomethane,Hydrogen (medium pressure)
BIOGAS_BIOMETHANE,HEAT_HIGH_T,0.189,Biomass to Biomethane,Heat (high temperature)
BIOGAS_BIOMETHANE,SNG_MP,1.0,Biomass to Biomethane,Synthetic natural gas (medium pressure)
BIOGAS_SMR,H2_HP,1.0,Biogas Steam Methane Reforming,Hydrogen (high pressure)
BIOGAS_SMR,WOOD,-1.711,Biogas Steam Methane Reforming,Woody biomass
BIOGAS_SMR_CCS,CO2_C,0.443,Biogas Steam Methane Reforming with Carbon Capture,Captured CO2
BIOGAS_SMR_CCS,CO2_E,-0.049,Biogas Steam Methane Reforming with Carbon Capture,CO2 emission (from nonconcentrated spot sources)
BIOGAS_SMR_CCS,H2_HP,1.0,Biogas Steam Methane Reforming with Carbon Capture,Hydrogen (high pressure)
BIOGAS_SMR_CCS,WOOD,-1.967,Biogas Steam Methane Reforming with Carbon Capture,Woody biomass
BIOMASS_AGRICULTURE_DEJECTION,CO2_E,-0.388235,,CO2 emission (from nonconcentrated spot sources)
BIOMASS_AGRICULTURE_DEJECTION,WET_BIOMASS,1.0,,Wet biomass
BIOMASS_AGRICULTURE_RESIDUAL,CO2_E,-0.388235,,CO2 emission (from nonconcentrated spot sources)
BIOMASS_AGRICULTURE_RESIDUAL,WOOD,1.0,,Woody biomass
BIOMASS_FORESTRY_LEFTOVER1,CO2_E,-0.388235,,CO2 emission (from nonconcentrated spot sources)
BIOMASS_FORESTRY_LEFTOVER1,WOOD,1.0,,Woody biomass
BIOMASS_FORESTRY_LEFTOVER2,CO2_E,-0.388235,,CO2 emission (from nonconcentrated spot sources)
BIOMASS_FORESTRY_LEFTOVER2,WOOD,1.0,,Woody biomass
BIOMASS_FORESTRY_RESIDUAL,CO2_E,-0.388235,,CO2 emission (from nonconcentrated spot sources)
BIOMASS_FORESTRY_RESIDUAL,WOOD,1.0,,Woody biomass
BIOMASS_FORESTRY_UNEXPLOITED,CO2_E,-0.388235,,CO2 emission (from nonconcentrated spot sources)
BIOMASS_FORESTRY_UNEXPLOITED,WOOD,1.0,,Woody biomass
BIOMASS_GAS_EF_H2,CO2_E,0.589,Hydrogen from Biomass Gasification Entrained Flow ,CO2 emission (from nonconcentrated spot sources)
BIOMASS_GAS_EF_H2,ELECTRICITY_LV,0.034,Hydrogen from Biomass Gasification Entrained Flow ,Electricity (low voltage)
BIOMASS_GAS_EF_H2,H2_MP,1.0,Hydrogen from Biomass Gasification Entrained Flow ,Hydrogen (medium pressure)
BIOMASS_GAS_EF_H2,WOOD,-2.107,Hydrogen from Biomass Gasification Entrained Flow ,Woody biomass
BIOMASS_GAS_EF_H2_CCS,CO2_C,0.763,Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture,Captured CO2
BIOMASS_GAS_EF_H2_CCS,CO2_E,-0.085,Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture,CO2 emission (from nonconcentrated spot sources)
BIOMASS_GAS_EF_H2_CCS,ELECTRICITY_LV,0.034,Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture,Electricity (low voltage)
BIOMASS_GAS_EF_H2_CCS,H2_MP,1.0,Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture,Hydrogen (medium pressure)
BIOMASS_GAS_EF_H2_CCS,WOOD,-2.422,Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture,Woody biomass
BIOMASS_GAS_FB_H2,CO2_E,0.745,Hydrogen from Biomass Gasification Fuidized Bed ,CO2 emission (from nonconcentrated spot sources)
BIOMASS_GAS_FB_H2,ELECTRICITY_LV,0.064,Hydrogen from Biomass Gasification Fuidized Bed ,Electricity (low voltage)
BIOMASS_GAS_FB_H2,H2_MP,1.0,Hydrogen from Biomass Gasification Fuidized Bed ,Hydrogen (medium pressure)
BIOMASS_GAS_FB_H2,WOOD,-2.662,Hydrogen from Biomass Gasification Fuidized Bed ,Woody biomass
BIOMASS_GAS_FB_H2_CCS,CO2_C,0.964,Hydrogen from Biomass Gasification Fuidized Bed with Carbon Capture,Captured CO2
BIOMASS_GAS_FB_H2_CCS,CO2_E,-0.107,Hydrogen from Biomass Gasification Fuidized Bed with Carbon Capture,CO2 emission (from nonconcentrated spot sources)
BIOMASS_GAS_FB_H2_CCS,ELECTRICITY_LV,0.064,Hydrogen from Biomass Gasification Fuidized Bed with Carbon Capture,Electricity (low voltage)
BIOMASS_GAS_FB_H2_CCS,H2_MP,1.0,Hydrogen from Biomass Gasification Fuidized Bed with Carbon Capture,Hydrogen (medium pressure)
BIOMASS_GAS_FB_H2_CCS,WOOD,-3.06,Hydrogen from Biomass Gasification Fuidized Bed with Carbon Capture,Woody biomass
BIOMASS_WASTE_BUILDING,CO2_E,-0.388235,,CO2 emission (from nonconcentrated spot sources)
BIOMASS_WASTE_BUILDING,WOOD,1.0,,Woody biomass
BIOMASS_WASTE_MUNICIPAL,CO2_E,-0.388235,,CO2 emission (from nonconcentrated spot sources)
BIOMASS_WASTE_MUNICIPAL,WET_BIOMASS,1.0,,Wet biomass
BIOMASS_WASTE_ORGANIC,CO2_E,-0.388235,,CO2 emission (from nonconcentrated spot sources)
BIOMASS_WASTE_ORGANIC,WASTE,1.0,,Waste
BIOMASS_WASTE_PAPER,CO2_E,-0.388235,,CO2 emission (from nonconcentrated spot sources)
BIOMASS_WASTE_PAPER,WASTE,1.0,,Waste
BIOMASS_WASTE_PAPER_FABRIC,CO2_E,-0.388235,,CO2 emission (from nonconcentrated spot sources)
BIOMASS_WASTE_PAPER_FABRIC,WET_BIOMASS,1.0,,Wet biomass
BIOMETHANE_TO_BIOMETHANOL,BIO_METHANOL,1.0,Conversion of BioMethane to Methanol,Bio-methanol
BIOMETHANE_TO_BIOMETHANOL,CO2_A,-0.25,Conversion of BioMethane to Methanol,CO2 emission (from carbon-intensive fields)
BIOMETHANE_TO_BIOMETHANOL,SNG_MP,-1.4,Conversion of BioMethane to Methanol,Synthetic natural gas (medium pressure)
BIOMETHANOL_CARBONYLATION,ACETIC_ACID,1.0,BioMethanol Cabonylation Process,Acetic acid
BIOMETHANOL_CARBONYLATION,BIO_METHANOL,-2.066,BioMethanol Cabonylation Process,Bio-methanol
BIOMETHANOL_CARBONYLATION,CO2_A,0.15,BioMethanol Cabonylation Process,CO2 emission (from carbon-intensive fields)
BIOMETHANOL_FT,BIO_METHANOL,1.0,BioMethanol Synthesis via Fischer-Tropsch Process,Bio-methanol
BIOMETHANOL_FT,CO2_C,-0.25,BioMethanol Synthesis via Fischer-Tropsch Process,Captured CO2
BIOMETHANOL_FT,ELECTRICITY_MV,-0.03,BioMethanol Synthesis via Fischer-Tropsch Process,Electricity (medium voltage)
BIOMETHANOL_FT,SNG_MP,-1.08,BioMethanol Synthesis via Fischer-Tropsch Process,Synthetic natural gas (medium pressure)
