Name,Flow,Amount
Acetic acid,Acetic acid,1.0
Acetone,Acetone,1.0
Alkaline Fuel Cell,Electricity (low voltage),2.915
Alkaline Fuel Cell,Hydrogen (high pressure),-4.255
Alkaline Fuel Cell,"Heat (low temperature, decentralized)",1.0
Alkaline Electrolysis,Electricity (high voltage),-1.72
Alkaline Electrolysis,Hydrogen (medium pressure),1.0
Alkaline Electrolysis,"Heat (low temperature, decentralized)",0.26
Aluminum Making,Aluminium,1.0
Aluminum Making,Electricity (high voltage),-0.125
Aluminum Making,Heat (high temperature),-1.056
Aluminum Making Heat Recovery,Aluminium,1.0
Aluminum Making Heat Recovery,Electricity (high voltage),-0.125
Aluminum Making Heat Recovery,Heat (high temperature),-1.003
Anaerobic Digestion of Sewage Sludge,CO2 emission (from carbon-intensive fields),1.06
Anaerobic Digestion of Sewage Sludge,Synthetic natural gas (medium pressure),1.0
Anaerobic Digestion of Sewage Sludge,Wet biomass,-3.346
Anaerobic Digestion of Sewage Sludge Cogeneration,CO2 emission (from carbon-intensive fields),2.903
Anaerobic Digestion of Sewage Sludge Cogeneration,Electricity (medium voltage),1.0
Anaerobic Digestion of Sewage Sludge Cogeneration,"Heat (low temperature, district heating network)",1.12
Anaerobic Digestion of Sewage Sludge Cogeneration,Wet biomass,-7.722
Auto-Thermal Reforming,CO2 emission (from carbon-intensive fields),0.411
Auto-Thermal Reforming,Hydrogen (high pressure),1.0
Auto-Thermal Reforming,Natural gas (high pressure),-1.542
Auto-Thermal Reforming with Carbon Capture,Captured CO2,0.38
Auto-Thermal Reforming with Carbon Capture,CO2 emission (from nonconcentrated spot sources),0.042
Auto-Thermal Reforming with Carbon Capture,Hydrogen (high pressure),1.0
Auto-Thermal Reforming with Carbon Capture,Natural gas (high pressure),-1.583
Benzene,Benzene,1.0
Conversion of BioEthanol to Jet Fuels,Bio-ethanol,-1.754
Conversion of BioEthanol to Jet Fuels,Bio-jetfuel,1.0
Conversion of BioEthanol to Jet Fuels,CO2 emission (from carbon-intensive fields),0.192
Biogas Auto-Thermal Reforming,Hydrogen (high pressure),1.0
Biogas Auto-Thermal Reforming,Woody biomass,-2.783
Biogas Auto-Thermal Reforming with Carbon Capture,Captured CO2,0.72
Biogas Auto-Thermal Reforming with Carbon Capture,CO2 emission (from nonconcentrated spot sources),-0.08
Biogas Auto-Thermal Reforming with Carbon Capture,Hydrogen (high pressure),1.0
Biogas Auto-Thermal Reforming with Carbon Capture,Woody biomass,-3.199
Biomass to Biomethane,Captured CO2,-0.198
Biomass to Biomethane,Electricity (medium voltage),-0.024
Biomass to Biomethane,Hydrogen (medium pressure),-1.191
Biomass to Biomethane,Heat (high temperature),0.189
Biomass to Biomethane,Synthetic natural gas (medium pressure),1.0
Biogas Steam Methane Reforming,Hydrogen (high pressure),1.0
Biogas Steam Methane Reforming,Woody biomass,-1.711
Biogas Steam Methane Reforming with Carbon Capture,Captured CO2,0.443
Biogas Steam Methane Reforming with Carbon Capture,CO2 emission (from nonconcentrated spot sources),-0.049
Biogas Steam Methane Reforming with Carbon Capture,Hydrogen (high pressure),1.0
Biogas Steam Methane Reforming with Carbon Capture,Woody biomass,-1.967
Hydrogen from Biomass Gasification Entrained Flow ,CO2 emission (from nonconcentrated spot sources),0.589
Hydrogen from Biomass Gasification Entrained Flow ,Electricity (low voltage),0.034
Hydrogen from Biomass Gasification Entrained Flow ,Hydrogen (medium pressure),1.0
Hydrogen from Biomass Gasification Entrained Flow ,Woody biomass,-2.107
Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture,Captured CO2,0.763
Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture,CO2 emission (from nonconcentrated spot sources),-0.085
Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture,Electricity (low voltage),0.034
Hydrogen from Biomass Gasification Entrained Flow with Carbon Capture,Hydrogen (medium pressure),1.0
