Name,Type,Value,LCA unit,ESM unit,Assumptions & Sources
Acetic acid,Resource,=1 * 3.6 / 14.55,kilogram,kilowatt hour,"acetic acid heat of combustion (14.55 MJ/kg): (Engineering ToolBox, 2017)"
Acetone,Resource,=1 / 8.22,kilogram,kilowatt hour,"Acetone LHV (8.22 kWh/kg): (Engineering ToolBox, 2003)"
Alkaline Fuel Cell,Construction,1,unit,kilowatt,Capacity (1 kWe)
Alkaline Fuel Cell,Operation,1,kilowatt hour,kilowatt hour,None
Alkaline Electrolysis,Construction,=1/(33.3/51.8) / 1000,unit,kilowatt,"Capacity (1 MWe), electricity consumption (51.8 kWh/kg H2): (Gerloff, 2021), LHV hydrogen (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Alkaline Electrolysis,Operation,=1 / 33.3,kilogram,kilowatt hour,"LHV hydrogen (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Alkaline Electrolysis (plant),Construction,1,unit,unit,None
Alkaline Electrolysis (plant decommissioning),Construction,-1,unit,unit,None
Alkaline Electrolysis (stack),Construction,1,unit,unit,None
Alkaline Electrolysis (stack decommissioning),Construction,-1,unit,unit,None
Aluminum Making,Construction,=(8760*0.85)/130 / 1000000,unit,kilogram per hour,"facility production (130 kt/yr): (Wernet, 2016) ; capacity factor (0.85): (Moret, 2017)"
Aluminum Making,Operation,1,kilogram,kilogram,None
Aluminum Making Heat Recovery,Construction,=(8760*0.85)/130 / 1000000,unit,kilogram per hour,"facility production (130 kt/yr): (Wernet, 2016) ; capacity factor (0.85): (Moret, 2017)"
Aluminum Making Heat Recovery,Operation,1,kilogram,kilogram,None
Anaerobic Digestion of Sewage Sludge,Construction,=3.6 * 8760 * 0.86 / (10 * 8.279 * 1/3.3462) / 1000000,unit,kilowatt,"yearly capacity (10 kt waste/yr): (Wernet, 2016), LHV wet wood (8.279 MJ/kg): (Moret, 2017), process efficiency (3.3462 kWh wet biomass/kWh SNG): (Poschl, 2010) ; capacity factor (0.86): (Moret, 2017)"
Anaerobic Digestion of Sewage Sludge,Operation,=1 / (13.9 * 0.716),cubic meter,kilowatt hour,"methane LHV (13.9 kWh/kg), methane density (0.716 kg/m3): (Engineering ToolBox, 2003)"
Anaerobic Digestion of Sewage Sludge Cogeneration,Construction,1,kilowatt,kilowatt,None
Anaerobic Digestion of Sewage Sludge Cogeneration,Operation,=1 / (0.716 * 13.9 * 0.4),cubic meter,kilowatt hour,"CHP electrical efficiency (0.40): (Poschl, 2010) ; methane LHV (13.9 kWh/kg), methane density (0.716 kg/m3): (Engineering ToolBox, 2003)"
Anaerobic Digestion of Sewage Sludge Cogeneration (co-generation unit),Construction,=1 / 160,unit,kilowatt,"unit capacity (160 kWe): (Wernet, 2016)"
Anaerobic Digestion of Sewage Sludge Cogeneration (plant),Construction,=3.6 * 8760 * 0.86 * 7.72 / (10 * 8.279) / 1000000,unit,kilowatt,"yearly capacity (10 kt waste/yr): (Wernet, 2016) ; LHV wet wood (8.279 MJ/kg): (Moret, 2017) ; wet biomass input (7.72 GWh biomass / GWh electricity): (Moret, 2017) ; capacity factor (0.86): (Moret, 2017)"
Auto-Thermal Reforming,Construction,=8760*0.85 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.85): (Moret, 2017)"
Auto-Thermal Reforming,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Auto-Thermal Reforming with Carbon Capture,Construction,=8760*0.85 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.85): (Moret, 2017)"
Auto-Thermal Reforming with Carbon Capture,Operation,=1/33.3,kilogram,kilowatt hour,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003)"
Auto-Thermal Reforming with Carbon Capture (plant),Construction,1,unit,unit,None
Auto-Thermal Reforming with Carbon Capture (storage tank),Construction,=0.00000000254628/5.34876232801608E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Auto-Thermal Reforming (plant),Construction,1,unit,unit,None
Auto-Thermal Reforming (storage tank),Construction,=0.00000000254628/5.34874716181652E-10,unit,unit,"Tank per plant ratio: (Sacchi, 2022)"
Battery Energy Storage,Construction,=1 / 0.114,kilogram,kilowatt hour,"Li-ion battery energy density (0.114 kWh/kg): (Notter, 2010)"
Benzene,Resource,=1 * 3.6 / 42.5,kilogram,kilowatt hour,"Benzene heat of combustion (42.5 MJ/kg): (Wernet, 2016)"
Biogas Auto-Thermal Reforming,Construction,=8760*0.86 / (0.05 * 1000 * 33.3) / 1000000,unit,kilowatt,"H2 LHV (33.3 kWh/kg): (Engineering ToolBox, 2003), yearly production (0.05 Mt/yr): (Althaus, 2007), capacity factor (0.86): (Moret, 2017)"
