Name,Flow,Amount
CCGT,CO2,0.28565999999999997
CCGT,ELECTRICITY,1.0
CCGT,NG,-1.587
CCGT_CC,CO2,0.031572
CCGT_CC,ELECTRICITY,1.0
CCGT_CC,NG,-1.754
CO2,CO2,1.0
COAL,COAL,1.0
COAL_IGCC,CO2,0.76405
COAL_IGCC,COAL,-2.065
COAL_IGCC,ELECTRICITY,1.0
COAL_IGCC_CC,CO2,0.09546
COAL_IGCC_CC,COAL,-2.58
COAL_IGCC_CC,ELECTRICITY,1.0
NG,NG,1.0
NUCLEAR,ELECTRICITY,1.0
NUCLEAR,URANIUM,-2.7
PV,ELECTRICITY,1.0
PV,RES_SOLAR,-1.0
RES_SOLAR,RES_SOLAR,1.0
RES_WIND_ONSHORE,RES_WIND_ONSHORE,1.0
URANIUM,URANIUM,1.0
WIND_ONSHORE,ELECTRICITY,1.0
WIND_ONSHORE,RES_WIND_ONSHORE,-1.0
