Name,CPC,Search type,Where,Overwrite existing
2 wt-% potassium iodide solution,"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",equals,Product,FALSE
amine-based silica,"35310: Organic surface active agents, except soap",equals,Product,FALSE
biodiesel,35491: Biodiesel,contains,Product,FALSE
biogas,"17200: Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons",equals,Product,FALSE
"biomass, used as fuel",31230: Wood in chips or particles,equals,Product,FALSE
"biomethane, from biogas upgrading, using amine scrubbing","12020: Natural gas, liquefied or in the gaseous state",equals,Product,FALSE
"biomethane, high pressure","12020: Natural gas, liquefied or in the gaseous state",equals,Product,FALSE
"biomethane, high pressure, vehicle grade","12020: Natural gas, liquefied or in the gaseous state",equals,Product,FALSE
"biomethane, low pressure","12020: Natural gas, liquefied or in the gaseous state",equals,Product,FALSE
"biomethane, low pressure, vehicle grade","12020: Natural gas, liquefied or in the gaseous state",equals,Product,FALSE
"biomethane, medium pressure, vehicle grade","12020: Natural gas, liquefied or in the gaseous state",equals,Product,FALSE
"carbon dioxide, captured",34210b: Carbon dioxide and monoxide,contains,Product,TRUE
"carbon dioxide, captured from atmosphere",34210b: Carbon dioxide and monoxide,equals,Product,TRUE
"carbon dioxide, in chemical industry",34210b: Carbon dioxide and monoxide,equals,Product,TRUE
"carbon dioxide, liquid",34210b: Carbon dioxide and monoxide,equals,Product,TRUE
"carbon dioxide, stored",34210b: Carbon dioxide and monoxide,equals,Product,TRUE
carbon dioxide storage,34210b: Carbon dioxide and monoxide,contains,Product,TRUE
"carbon monoxide, from RWGS",34210b: Carbon dioxide and monoxide,equals,Product,TRUE
"chemical factory, organics",53269: Other constructions for manufacturing,equals,Product,FALSE
"compressor, for hydrogen transmission",43230: Air or vacuum pumps; air or other gas compressors,equals,Product,FALSE
"construction, hard coal IGCC power plant 450MW",53262: Power plants,equals,Product,FALSE
"drilling, deep borehole",86219: Support services to other mining,equals,Product,FALSE
diesel,33370: Fuel oils n.e.c.,equals,Product,FALSE
"diesel, low-sulfur",33370: Fuel oils n.e.c.,equals,Product,FALSE
"diesel, synthetic",33370: Fuel oils n.e.c.,equals,Product,FALSE
"diesel, synthetic, vehicle grade",33370: Fuel oils n.e.c.,equals,Product,FALSE
"direct air capture system, solvent-based, 1MtCO2",43230: Air or vacuum pumps; air or other gas compressors,equals,Activity,FALSE
"direct air capture system, sorbent-based, 100ktCO2",43230: Air or vacuum pumps; air or other gas compressors,equals,Activity,FALSE
distribution pipeline,53251: Local pipelines,contains,Activity,FALSE
electric installation,5461: Electrical installation services,contains,Product,FALSE
electricity production,17100: Electrical energy,contains,Product,FALSE
"electricity, from residential heating system",17100: Electrical energy,equals,Product,FALSE
"electricity, high voltage",17100: Electrical energy,equals,Product,FALSE
"electricity, low voltage",17100: Electrical energy,equals,Product,FALSE
"electricity, medium voltage",17100: Electrical energy,equals,Product,FALSE
"electrolyzer, 1MWe, AEC, Balance of Plant",46410: Primary cells and primary batteries,equals,Product,FALSE
"electrolyzer, 1MWe, AEC, Stack",46410: Primary cells and primary batteries,equals,Product,FALSE
"electrolyzer, 1MWe, PEM, Balance of Plant",46410: Primary cells and primary batteries,equals,Product,FALSE
"electrolyzer, 1MWe, PEM, Stack",46410: Primary cells and primary batteries,equals,Product,FALSE
"electrolyzer, 1MWe, SOEC, Balance of Plant",46410: Primary cells and primary batteries,equals,Product,FALSE
"electrolyzer, 1MWe, SOEC, Stack",46410: Primary cells and primary batteries,equals,Product,FALSE
"ethanol, from corn","34139: Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",equals,Product,FALSE
"ethanol, from forest residue","34139: Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",equals,Product,FALSE
EV charger,"464: Accumulators, primary cells and primary batteries, and parts thereof",contains,Product,FALSE
"facility, construction",53269: Other constructions for manufacturing,contains,Activity,FALSE
farming and supply of,23140: Other cereal grain products (including corn flakes),contains,Activity,FALSE
fixed bed reactor,53269: Other constructions for manufacturing,equals,Product,FALSE
forest residue,23140: Other cereal grain products (including corn flakes),equals,Product,FALSE
fuel supply for cng vehicles,"12020: Natural gas, liquefied or in the gaseous state",contains,Activity,FALSE
fuel supply for methane vehicles,"12020: Natural gas, liquefied or in the gaseous state",contains,Activity,FALSE
fuel supply for diesel vehicles,33370: Fuel oils n.e.c.,contains,Activity,FALSE
fuel supply for hydrogen vehicles,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.",contains,Activity,FALSE
"fuel cell system, 1 kWe, proton exchange membrane (PEM)",46410: Primary cells and primary batteries,equals,Product,TRUE
geothermal heat plant,"43913: Refrigerating and freezing equipment and heat pumps, except household type equipment",equals,Product,FALSE
hard coal IGCC power plant 450MW,53262: Power plants,equals,Product,FALSE
"heat, central or small-scale",17300: Steam and hot water,equals,Product,FALSE
"heat, deep geothermal",17300: Steam and hot water,equals,Product,FALSE
"heat, from residential heating system",17300: Steam and hot water,equals,Product,FALSE
"heat, district or industrial",17300: Steam and hot water,equals,Product,FALSE
high pressure hydrogen storage tank,"42210: Reservoirs, tanks, vats and similar containers (other than for compressed or liquefied gas), of iron, steel or[…]",equals,Product,FALSE
hydrogen storage,67220: Bulk liquid or gas storage services,equals,Product,FALSE
"hydrogen, 700 bar","34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.",equals,Product,FALSE
"hydrogen, gaseous","34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.",contains,Product,FALSE
"hydrogen, liquid","34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.",equals,Product,FALSE
inverter,46220: Parts of electricity distribution or control apparatus,contains,Product,FALSE
"kerosene, synthetic",3334: Kerosenes,equals,Product,FALSE
light duty truck,49114: Motor vehicles n.e.c. for the transport of goods,contains,Product,FALSE
Light duty truck,49114: Motor vehicles n.e.c. for the transport of goods,contains,Product,FALSE
lignocellulosic biomass,31230: Wood in chips or particles,equals,Product,FALSE
medium duty truck,49114: Motor vehicles n.e.c. for the transport of goods,contains,Product,FALSE
Medium duty truck,49114: Motor vehicles n.e.c. for the transport of goods,contains,Product,FALSE
"methane, from electrochemical methanation","17200: Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons",equals,Product,FALSE
methanol,"34139: Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",equals,Product,FALSE
"methanol, from biomass","34139: Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",equals,Product,FALSE
"methanol, purified","34139: Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",equals,Product,FALSE
"methanol, unpurified","34139: Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",equals,Product,FALSE
"NGCC power plant, 400MWe",53262: Power plants,equals,Product,FALSE
"naphtha, synthetic",33330: Naphtha,equals,Product,FALSE
nickel-based catalyst for methanation,"415: Semi-finished products of copper, nickel, aluminium, lead, zinc and tin or their alloys",equals,Product,FALSE
open ground construction,87360: Installation services of electrical machinery and apparatus n.e.c.,contains,Product,FALSE
passenger bus,49112: Public-transport type passenger motor vehicles,equals,Product,FALSE
"Passenger bus, EURO-VI",49112: Public-transport type passenger motor vehicles,equals,Product,FALSE
passenger car,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…],contains,Product,FALSE
Passenger car,49113: Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…],contains,Product,FALSE
petroleum refinery,53290: Other civil engineering works,equals,Product,FALSE
photovoltaic open ground installation,87360: Installation services of electrical machinery and apparatus n.e.c.,contains,Product,FALSE
photovoltaic flat-roof installation,87360: Installation services of electrical machinery and apparatus n.e.c.,contains,Product,FALSE
photovoltaic slanted-roof installation,87360: Installation services of electrical machinery and apparatus n.e.c.,contains,Product,FALSE
photovoltaic panel,87360: Installation services of electrical machinery and apparatus n.e.c.,contains,Product,FALSE
photovoltaic laminate,87360: Installation services of electrical machinery and apparatus n.e.c.,contains,Product,FALSE
"pipeline, for hydrogen distribution",53251: Local pipelines,equals,Product,FALSE
"pipeline, for hydrogen transmission",53251: Local pipelines,equals,Product,FALSE
plant construction,53269: Other constructions for manufacturing,contains,Activity,FALSE
sabatier reaction methanation unit,53269: Other constructions for manufacturing,equals,Product,FALSE
"syngas, from biomass gasification","12020: Natural gas, liquefied or in the gaseous state",equals,Product,FALSE
"syngas, from biomass gasification, pre, pipeline 200km, storage 1000m","12020: Natural gas, liquefied or in the gaseous state",equals,Product,FALSE
